initial_conditions,termination_time,termination_reason
"(1.64742, 1.3847, 0, 0)",84.07718142964949,Large deviation
"(1.25903, 1.75816, 0, 0)",40.83315871042725,Large deviation
"(2.02318, 1.28408, 0, 0)",18.513404597041628,Large deviation
"(2.51301, 0.56091, 0, 0)",4.996827087431221,Large deviation
"(0.72594, 2.11081, 0, 0)",90.10579564274622,Large deviation
"(2.05066, 0.74827, 0, 0)",72.59688178879581,Large deviation
"(2.60821, 1.24779, 0, 0)",19.812981106492582,Large deviation
"(2.09885, 0.64398, 0, 0)",36.85676186815963,Large deviation
"(0.92095, 2.81592, 0, 0)",74.87042126242768,Large deviation
"(1.32394, 2.80441, 0, 0)",20.270451558971622,Large deviation
"(2.56807, 1.07385, 0, 0)",42.65337384725974,Large deviation
"(1.85447, 0.84215, 0, 0)",12.836017505887005,Large deviation
"(1.96082, 1.2862, 0, 0)",51.922320942305355,Large deviation
"(1.73431, 1.37013, 0, 0)",35.63387417559261,Large deviation
"(2.39894, 0.44018, 0, 0)",47.87218308492034,Large deviation
"(0.92509, 2.97965, 0, 0)",91.55764704282873,Large deviation
"(1.99013, 0.81018, 0, 0)",14.419692325850164,Large deviation
"(0.4378, 2.62301, 0, 0)",119.93125572781248,Large deviation
"(0.05778, 2.87235, 0, 0)",98.53189776259732,Large deviation
"(0.43004, 2.82749, 0, 0)",36.08242717816338,Large deviation
"(1.88658, 2.08927, 0, 0)",16.541956297910335,Large deviation
"(0.55095, 2.87271, 0, 0)",82.5638373162667,Large deviation
"(1.63023, 0.14755, 0, 0)",105.20016103797673,Large deviation
"(2.25895, 0.93344, 0, 0)",7.653181134179089,Large deviation
"(2.30144, 0.67526, 0, 0)",26.16813760737485,Large deviation
"(1.77941, 1.49556, 0, 0)",70.80397280307643,Large deviation
"(1.55938, 1.87504, 0, 0)",58.239548419927715,Large deviation
"(1.05006, 2.42189, 0, 0)",30.068875599005853,Large deviation
"(2.28767, 1.55663, 0, 0)",33.329748716206,Large deviation
"(2.16268, 1.36605, 0, 0)",53.36279142266987,Large deviation
"(0.77409, 2.57329, 0, 0)",55.54672001910177,Large deviation
"(2.88183, 0.42983, 0, 0)",52.40357374886311,Large deviation
"(0.69495, 3.10285, 0, 0)",8.481201288207263,Large deviation
"(2.96585, 0.12386, 0, 0)",40.05372721234353,Large deviation
"(2.87609, 0.10664, 0, 0)",10.222354036456498,Large deviation
"(2.19101, 0.93415, 0, 0)",43.54708824983804,Large deviation
"(1.00248, 2.60411, 0, 0)",23.17495780747893,Large deviation
"(1.06775, 2.27692, 0, 0)",32.525689926379066,Large deviation
"(1.69486, 2.48413, 0, 0)",34.332911744068156,Large deviation
"(1.00139, 1.9663, 0, 0)",36.00650860380295,Large deviation
"(2.7335, 0.06682, 0, 0)",14.971369599626257,Large deviation
"(2.41019, 1.2627, 0, 0)",19.13244162543789,Large deviation
"(1.50757, 1.97137, 0, 0)",12.832138287330878,Large deviation
"(2.4136, 1.31245, 0, 0)",29.05027183003797,Large deviation
"(1.32373, 2.31718, 0, 0)",64.72755457968981,Large deviation
"(1.2074, 2.13517, 0, 0)",41.5117609682601,Large deviation
"(0.68566, 2.98439, 0, 0)",29.429502157762673,Large deviation
"(2.47038, 0.28089, 0, 0)",14.346856650883538,Large deviation
"(1.31187, 2.76183, 0, 0)",7.839347736305162,Large deviation
"(3.11385, 0.72782, 0, 0)",21.622266202697645,Large deviation
"(1.90926, 1.61066, 0, 0)",33.595640609283926,Large deviation
"(2.44914, 1.09995, 0, 0)",9.122593487347723,Large deviation
"(1.24483, 2.38208, 0, 0)",12.501232989698547,Large deviation
"(3.1256, 0.54631, 0, 0)",40.56820158764787,Large deviation
"(0.18172, 3.04453, 0, 0)",100.69486761417717,Large deviation
"(2.18661, 0.48348, 0, 0)",46.46422425074908,Large deviation
"(2.56302, 0.7051, 0, 0)",32.18355678894701,Large deviation
"(1.86278, 1.82239, 0, 0)",36.06953478459419,Large deviation
"(0.28741, 2.75662, 0, 0)",71.55148715230425,Large deviation
"(2.0585, 1.73057, 0, 0)",67.34001755910897,Large deviation
"(2.27269, 1.55784, 0, 0)",23.775922977130335,Large deviation
"(1.50981, 1.8611, 0, 0)",13.256297102035488,Large deviation
"(2.14652, 0.23917, 0, 0)",52.46408642637215,Large deviation
"(2.59081, 1.09267, 0, 0)",25.56083484243117,Large deviation
"(2.13005, 1.7773, 0, 0)",18.891106508521467,Large deviation
"(1.94342, 2.36473, 0, 0)",29.680888402106067,Large deviation
"(2.73898, 0.09188, 0, 0)",44.19977737221827,Large deviation
"(2.59438, 0.40486, 0, 0)",33.44802353322381,Large deviation
"(1.05281, 2.3358, 0, 0)",42.608752958523546,Large deviation
"(0.50504, 2.56972, 0, 0)",98.82749357311421,Large deviation
"(1.99179, 1.69641, 0, 0)",19.1683297673112,Large deviation
"(1.9849, 0.8162, 0, 0)",100.27763971032077,Large deviation
"(2.44996, 0.33609, 0, 0)",55.57025899592683,Large deviation
"(2.16106, 0.21312, 0, 0)",49.290928214575224,Large deviation
"(0.32204, 2.94439, 0, 0)",100.97118357667966,Large deviation
"(0.9455, 2.22479, 0, 0)",39.701975872113046,Large deviation
"(1.08662, 1.95066, 0, 0)",72.33549839520686,Large deviation
"(0.1437, 2.73801, 0, 0)",68.22156823735303,Large deviation
"(2.3551, 0.40868, 0, 0)",39.86724748653507,Large deviation
"(2.38215, 0.07724, 0, 0)",27.257562248626353,Large deviation
"(1.53512, 2.42031, 0, 0)",22.722381445535497,Large deviation
"(2.14664, 1.40084, 0, 0)",43.9326414129089,Large deviation
"(1.33889, 1.41807, 0, 0)",46.669357824047495,Large deviation
"(0.85962, 3.13256, 0, 0)",102.58434950327637,Large deviation
"(0.51404, 2.49697, 0, 0)",52.9879063818327,Large deviation
"(2.17927, 0.69357, 0, 0)",26.66555296820421,Large deviation
"(2.05621, 0.85847, 0, 0)",19.588495371560548,Large deviation
"(2.98723, 0.47456, 0, 0)",29.58546214954685,Large deviation
"(1.35822, 2.96446, 0, 0)",44.47910687809997,Large deviation
"(1.31861, 2.00599, 0, 0)",71.54318487592394,Large deviation
"(2.8089, 0.72242, 0, 0)",25.819894748256715,Large deviation
"(3.04167, 0.58285, 0, 0)",11.582755157905911,Large deviation
"(2.04727, 1.15776, 0, 0)",51.10255327807073,Large deviation
"(2.15377, 1.35185, 0, 0)",29.869426365646127,Large deviation
"(0.84507, 2.50561, 0, 0)",64.08553313396983,Large deviation
"(1.23305, 1.50777, 0, 0)",44.8211759831067,Large deviation
"(1.88502, 0.91629, 0, 0)",32.16857550344057,Large deviation
"(2.44997, 0.12447, 0, 0)",24.076302824304832,Large deviation
"(0.76041, 3.09969, 0, 0)",73.63592710207946,Large deviation
"(1.94199, 2.20686, 0, 0)",23.885091210980942,Large deviation
"(1.75819, 0.0307, 0, 0)",78.42965351976954,Large deviation
"(1.78298, 2.16602, 0, 0)",29.400405313907243,Large deviation
"(2.51512, 0.62879, 0, 0)",64.18054372388845,Large deviation
"(1.9994, 2.21946, 0, 0)",35.066478370528955,Large deviation
"(0.09923, 2.9412, 0, 0)",83.3286366141836,Large deviation
"(1.06641, 2.55985, 0, 0)",88.89987206884501,Large deviation
"(1.72031, 2.56762, 0, 0)",30.127785112460785,Large deviation
"(1.421, 2.02186, 0, 0)",33.92759176364705,Large deviation
"(1.65374, 2.29836, 0, 0)",45.48706393637547,Large deviation
"(2.73879, 0.68868, 0, 0)",33.2204542231875,Large deviation
"(2.06939, 1.56513, 0, 0)",15.39043217968152,Large deviation
"(0.57214, 2.48091, 0, 0)",78.88908714185271,Large deviation
"(1.74473, 2.25944, 0, 0)",29.015926852502645,Large deviation
"(0.71771, 3.13008, 0, 0)",32.86386748955195,Large deviation
"(2.33328, 1.33673, 0, 0)",20.821348290122394,Large deviation
"(3.10279, 0.12601, 0, 0)",38.84363807408176,Large deviation
"(1.52892, 2.74394, 0, 0)",10.363458985587302,Large deviation
"(1.37795, 2.27846, 0, 0)",68.39184400919935,Large deviation
"(2.86627, 0.66181, 0, 0)",21.256835245047835,Large deviation
"(0.86968, 1.86092, 0, 0)",116.43609027603917,Large deviation
"(2.30314, 0.41333, 0, 0)",16.562687810114934,Large deviation
"(1.95711, 1.9841, 0, 0)",51.61227598899501,Large deviation
"(3.05173, 0.56856, 0, 0)",40.557904688148625,Large deviation
"(0.7767, 2.73554, 0, 0)",14.479980685831103,Large deviation
"(1.39897, 1.61735, 0, 0)",31.711217694386047,Large deviation
"(3.0455, 0.81095, 0, 0)",16.336553754301814,Large deviation
"(1.12856, 1.86281, 0, 0)",109.65363344826379,Large deviation
"(2.42994, 0.41115, 0, 0)",9.18733477528252,Large deviation
"(2.0632, 1.02161, 0, 0)",54.778073577466365,Large deviation
"(1.05873, 2.60401, 0, 0)",27.511049368471785,Large deviation
"(1.93882, 2.22041, 0, 0)",23.33540131836092,Large deviation
"(1.35367, 0.78136, 0, 0)",104.16650910434079,Large deviation
"(2.0854, 1.4911, 0, 0)",34.22540516812212,Large deviation
"(1.83894, 2.72775, 0, 0)",13.908761616902224,Large deviation
"(1.66872, 2.94243, 0, 0)",11.232754310203038,Large deviation
"(1.42063, 2.93385, 0, 0)",50.085691634677985,Large deviation
"(1.42861, 1.61979, 0, 0)",25.50531531480973,Large deviation
"(1.53576, 2.09502, 0, 0)",31.693401189339163,Large deviation
"(0.96739, 2.21382, 0, 0)",79.84484763631502,Large deviation
"(3.04707, 0.295, 0, 0)",20.4667617722046,Large deviation
"(2.11304, 1.39408, 0, 0)",46.73811422148799,Large deviation
"(1.56192, 1.94102, 0, 0)",18.416374947543353,Large deviation
"(2.72735, 0.55653, 0, 0)",50.700148788748805,Large deviation
