initial_conditions,termination_time,termination_reason
"(1.60919, 2.137, 0, 0)",62.08591041241726,Large deviation
"(2.2504, 0.22646, 0, 0)",72.26495379286469,Large deviation
"(2.07776, 0.58181, 0, 0)",89.36100665990477,Large deviation
"(1.96244, 1.1999, 0, 0)",24.593077888455028,Large deviation
"(1.93212, 2.43358, 0, 0)",56.98016763662851,Large deviation
"(2.02288, 1.66599, 0, 0)",53.25326059574317,Large deviation
"(2.50923, 0.91993, 0, 0)",43.891239028828295,Large deviation
"(0.13179, 3.0426, 0, 0)",115.19558395750032,Large deviation
"(1.82973, 2.35014, 0, 0)",47.79021003682937,Large deviation
"(1.38043, 1.92561, 0, 0)",89.0424480146225,Large deviation
"(0.8982, 2.56337, 0, 0)",84.74958833791526,Large deviation
"(2.37203, 1.44683, 0, 0)",59.282536785845636,Large deviation
"(2.56915, 0.67077, 0, 0)",30.135596309232834,Large deviation
"(1.58918, 2.64115, 0, 0)",37.84208100529276,Large deviation
"(2.30216, 1.70349, 0, 0)",23.65266239035708,Large deviation
"(1.85463, 1.59706, 0, 0)",34.372706459521375,Large deviation
"(2.5135, 0.641, 0, 0)",54.88753071972883,Large deviation
"(1.74385, 2.30301, 0, 0)",37.19623267374431,Large deviation
"(1.93518, 0.5907, 0, 0)",83.31436041493872,Large deviation
"(1.11647, 2.46235, 0, 0)",63.93971512922901,Large deviation
"(2.39072, 0.11093, 0, 0)",42.91345559279549,Large deviation
"(1.74115, 0.01643, 0, 0)",116.64763061232956,Large deviation
"(2.34279, 0.63611, 0, 0)",69.78139193409271,Large deviation
"(0.96008, 2.75408, 0, 0)",95.96743482040318,Large deviation
"(2.18535, 0.01011, 0, 0)",89.0957030551283,Large deviation
"(1.9465, 1.11681, 0, 0)",86.64280214698714,Large deviation
"(1.84789, 1.51102, 0, 0)",32.26081239227974,Large deviation
"(2.49504, 0.29214, 0, 0)",77.63869726388069,Large deviation
"(2.01793, 0.20374, 0, 0)",62.56320958828151,Large deviation
"(1.82207, 1.76396, 0, 0)",48.70959770687248,Large deviation
"(1.76137, 1.89591, 0, 0)",37.10399242761234,Large deviation
"(0.84767, 2.59197, 0, 0)",65.9653788316131,Large deviation
"(1.87938, 2.31115, 0, 0)",55.42724885085358,Large deviation
"(2.01868, 1.32339, 0, 0)",50.4269031468045,Large deviation
"(1.79659, 1.84653, 0, 0)",31.726366973861737,Large deviation
"(1.43944, 1.51729, 0, 0)",37.00592348281878,Large deviation
"(2.28689, 1.55968, 0, 0)",49.58260176380675,Large deviation
"(1.37241, 2.29182, 0, 0)",84.89175764852067,Large deviation
"(2.40493, 0.49922, 0, 0)",54.34666751732367,Large deviation
"(1.91708, 0.42523, 0, 0)",108.67271539423189,Large deviation
"(1.4129, 2.44011, 0, 0)",55.83925353814206,Large deviation
"(1.09121, 2.82691, 0, 0)",47.10024633584074,Large deviation
"(1.45749, 3.05364, 0, 0)",43.93586711294536,Large deviation
"(1.91174, 1.09801, 0, 0)",30.516722514419772,Large deviation
"(1.43979, 1.52272, 0, 0)",85.82912001260466,Large deviation
"(2.04509, 1.71352, 0, 0)",43.7764949980634,Large deviation
"(0.64365, 2.75778, 0, 0)",97.45352602252933,Large deviation
"(1.45748, 2.8564, 0, 0)",57.299683480603186,Large deviation
"(1.69238, 1.56392, 0, 0)",96.15461627197583,Large deviation
"(2.58271, 1.19512, 0, 0)",44.68575549038239,Large deviation
"(0.90207, 2.49083, 0, 0)",86.88725500393197,Large deviation
"(1.81456, 1.9936, 0, 0)",96.70394811510727,Large deviation
"(2.50672, 1.24398, 0, 0)",75.4644004767567,Large deviation
"(2.4921, 0.99514, 0, 0)",51.16510134963361,Large deviation
"(0.86992, 3.08982, 0, 0)",102.5540542344476,Large deviation
"(2.05552, 0.47785, 0, 0)",26.366729565273573,Large deviation
"(1.38332, 1.93302, 0, 0)",114.06940700982705,Large deviation
"(1.99388, 0.52136, 0, 0)",53.84650934411592,Large deviation
"(1.75852, 1.65687, 0, 0)",72.02413352010159,Large deviation
"(2.23129, 0.98756, 0, 0)",52.12993648656299,Large deviation
"(1.48022, 2.58125, 0, 0)",41.93394748978094,Large deviation
"(1.55261, 2.60202, 0, 0)",54.59893299646319,Large deviation
"(1.41482, 2.35251, 0, 0)",31.593884702449504,Large deviation
"(2.04564, 1.9507, 0, 0)",58.68465350305778,Large deviation
"(1.10702, 2.64349, 0, 0)",51.11299371454835,Large deviation
"(1.48059, 3.07595, 0, 0)",40.36096248858385,Large deviation
"(1.99222, 0.39667, 0, 0)",65.93657120297668,Large deviation
"(2.12427, 1.02134, 0, 0)",74.14111715069131,Large deviation
"(2.15616, 0.21878, 0, 0)",81.56475272786052,Large deviation
"(2.18074, 1.61055, 0, 0)",69.04172702874935,Large deviation
"(2.10717, 1.76068, 0, 0)",29.099902016252283,Large deviation
"(1.44626, 2.71611, 0, 0)",72.45855678681802,Large deviation
"(1.71735, 1.19506, 0, 0)",97.06411473089602,Large deviation
"(0.87976, 2.69656, 0, 0)",25.924314312153832,Large deviation
"(2.2829, 0.9574, 0, 0)",51.9307865178795,Large deviation
"(2.60562, 0.88442, 0, 0)",64.41335169328094,Large deviation
"(2.21069, 1.69865, 0, 0)",54.18563324464651,Large deviation
"(2.33481, 0.15125, 0, 0)",44.52641852762005,Large deviation
"(2.09797, 1.86366, 0, 0)",44.77096337345594,Large deviation
"(2.49624, 0.10892, 0, 0)",44.457473368867916,Large deviation
"(1.62561, 1.35223, 0, 0)",34.583224491841506,Large deviation
"(1.90723, 1.98331, 0, 0)",79.8983981027314,Large deviation
"(1.85887, 2.20739, 0, 0)",77.57110896389575,Large deviation
"(1.53205, 2.04902, 0, 0)",51.66122810980451,Large deviation
"(2.33607, 1.59048, 0, 0)",40.47385318049353,Large deviation
"(1.9921, 0.22284, 0, 0)",109.97526726350623,Large deviation
"(1.91882, 0.88179, 0, 0)",34.12693885977097,Large deviation
"(1.59408, 2.74645, 0, 0)",69.7131602778179,Large deviation
