initial_conditions,termination_time,termination_reason
"(1.6004, 3.13122, 0, 0)",45.68826275385911,Large deviation
"(2.41684, 0.03466, 0, 0)",49.36942048840479,Large deviation
"(1.30739, 1.51219, 0, 0)",88.19047631734591,Large deviation
"(2.38852, 0.43074, 0, 0)",71.22064654813002,Large deviation
"(1.42747, 2.65263, 0, 0)",52.75852311658211,Large deviation
"(2.31648, 1.49546, 0, 0)",52.90146054617986,Large deviation
"(1.44339, 2.4662, 0, 0)",46.56479326692323,Large deviation
"(2.47213, 0.99088, 0, 0)",32.77246236601471,Large deviation
"(2.16184, 1.37477, 0, 0)",82.58513625869871,Large deviation
"(1.44977, 2.00183, 0, 0)",65.27350974891665,Large deviation
"(2.00016, 1.92873, 0, 0)",63.188928369970135,Large deviation
"(1.60919, 2.137, 0, 0)",68.19428463145587,Large deviation
"(2.2504, 0.22646, 0, 0)",112.93229165015202,Large deviation
"(2.07776, 0.58181, 0, 0)",92.22223822471958,Large deviation
"(1.96244, 1.1999, 0, 0)",33.83195452345872,Large deviation
"(2.02288, 1.66599, 0, 0)",59.46813620882152,Large deviation
"(2.50923, 0.91993, 0, 0)",85.25288545240603,Large deviation
"(1.38043, 1.92561, 0, 0)",94.70794904251714,Large deviation
"(0.8982, 2.56337, 0, 0)",106.64456573565386,Large deviation
"(2.37203, 1.44683, 0, 0)",64.51249724386548,Large deviation
"(2.56915, 0.67077, 0, 0)",33.58515475140449,Large deviation
"(1.58918, 2.64115, 0, 0)",52.57658050660581,Large deviation
"(2.30216, 1.70349, 0, 0)",28.570911272011166,Large deviation
"(1.85463, 1.59706, 0, 0)",37.265467902587616,Large deviation
"(2.5135, 0.641, 0, 0)",65.15825373894276,Large deviation
"(1.74385, 2.30301, 0, 0)",49.24119674019001,Large deviation
"(1.93518, 0.5907, 0, 0)",92.3690731150456,Large deviation
"(1.11647, 2.46235, 0, 0)",90.76354088265835,Large deviation
"(2.39072, 0.11093, 0, 0)",95.01118084901398,Large deviation
"(2.34279, 0.63611, 0, 0)",74.40918768332952,Large deviation
"(0.96008, 2.75408, 0, 0)",99.9205699087829,Large deviation
"(2.18535, 0.01011, 0, 0)",98.97625956725247,Large deviation
"(1.9465, 1.11681, 0, 0)",90.80624483315054,Large deviation
"(2.49504, 0.29214, 0, 0)",85.8179407081849,Large deviation
"(1.84789, 1.51102, 0, 0)",94.42596609612913,Large deviation
"(1.82207, 1.76396, 0, 0)",68.78446073552836,Large deviation
"(1.76137, 1.89591, 0, 0)",81.39690267496695,Large deviation
"(2.01868, 1.32339, 0, 0)",53.36865571941592,Large deviation
"(1.79659, 1.84653, 0, 0)",86.57631822570691,Large deviation
"(1.43944, 1.51729, 0, 0)",98.62914333957146,Large deviation
"(2.28689, 1.55968, 0, 0)",54.43329622652884,Large deviation
"(1.37241, 2.29182, 0, 0)",89.88562838133956,Large deviation
"(2.40493, 0.49922, 0, 0)",58.37723802570622,Large deviation
"(1.91708, 0.42523, 0, 0)",111.9472807219241,Large deviation
"(1.4129, 2.44011, 0, 0)",70.8814957951595,Large deviation
"(1.09121, 2.82691, 0, 0)",64.99975953052363,Large deviation
"(1.45749, 3.05364, 0, 0)",51.38314095215653,Large deviation
"(1.91174, 1.09801, 0, 0)",108.4327897245656,Large deviation
"(1.43979, 1.52272, 0, 0)",90.78557932864894,Large deviation
"(2.04509, 1.71352, 0, 0)",90.07407506021946,Large deviation
"(1.45748, 2.8564, 0, 0)",63.95615694546332,Large deviation
"(1.69238, 1.56392, 0, 0)",100.29010430035213,Large deviation
"(2.58271, 1.19512, 0, 0)",49.43826376513809,Large deviation
"(0.90207, 2.49083, 0, 0)",111.06707588933988,Large deviation
"(1.81456, 1.9936, 0, 0)",99.48276015790988,Large deviation
